Project,Company,Category,SubCat,URL,Starcount,Subscribers,TotalIssues,Forks,Contributors,Releases,Pulls,TopLanguage,GitURL
ansible/ansible,RedHat,PlatformOps,Automation,ansible.com,46325,2046,72892,20050,390,3,44251,Python,https://github.com/ansible/ansible
redis/redis,Redis Labs,Data,Database,redislabs.com,46788,2717,8213,18556,375,6,3614,C,https://github.com/redis/redis
JanusGraph/janusgraph,JanusGraph,Data ,Database-Graph,JanusGraph.org,3748,238,2293,933,125,18,1052,Java,https://github.com/JanusGraph/janusgraph
argoproj/argo,Intuit,Devops,CD,argoproj.github.io/argo/,7214,176,4805,1277,322,105,2188,Go,https://github.com/argoproj/argo
SeldonIO/seldon-core,Seldon,AI/ML,Ops,www.seldon.io,2000,63,2809,449,93,35,1457,Jupyter Notebook,https://github.com/SeldonIO/seldon-core
derailed/k9s,Derailed,PlatformOps,Kubernetes,k9scli.io,10421,134,1000,563,88,149,184,Go,https://github.com/derailed/k9s
bottlerocket-os/bottlerocket,Amazon,PlatformOps,OS,https://aws.amazon.com/bottlerocket/,5113,114,1206,206,24,20,777,Rust,https://github.com/bottlerocket-os/bottlerocket
sourcegraph/sourcegraph,Sourcegraph,Developer,Search Engine,www.sourcegraph.com,4234,105,16936,486,143,0,10633,Go,https://github.com/sourcegraph/sourcegraph
backstage/backstage,backstage,Developer,Portals,backstage.io,9136,156,3894,790,200,17,2864,TypeScript,https://github.com/backstage/backstage
bfenetworks/bfe,Baidu,Networking,TrafficManager,www.bfe-networks.net,4218,183,682,717,75,12,486,Go,https://github.com/bfenetworks/bfe
brigadecore/brigade,Brigade,PlatformOps,Kubernetes,brigade.sh/,2045,67,1204,208,77,29,651,Go,https://github.com/brigadecore/brigade
chaos-mesh/chaos-mesh,Pingcap,PlatformOps,Chaos Testing,chaos-mesh.org,3117,133,1336,311,72,7,886,Go,https://github.com/chaos-mesh/chaos-mesh
chubaofs/chubaofs,Chubao,Data,Data Lake,chubao.io/,2086,76,1050,256,30,15,858,Go,https://github.com/chubaofs/chubaofs
dexidp/dex,CNCF,PlatformOps,Identity,dexidp.io,5311,168,1899,1082,151,60,1030,Go,https://github.com/dexidp/dex
fluxcd/flux,Weave,DevOps,CD,https://www.weave.works/oss/flux/,5903,117,3340,1047,248,74,1800,Go,https://github.com/fluxcd/flux
in-toto/in-toto,CNCF,Devops,Security,in-toto.io,287,30,418,66,23,16,303,Python,https://github.com/in-toto/in-toto
k3s-io/k3s,Rancher,PlatformOps,Kubernetes,https://rancher.com/docs/k3s/latest/en/,15442,282,2758,1244,116,182,978,Go,https://github.com/k3s-io/k3s
keptn/keptn,Dynatrace,Devops,CD,https://keptn.sh/,675,17,2864,82,40,23,1603,Go,https://github.com/keptn/keptn
kubevirt/kubevirt,RedHat,PlatformOps,Platform,kubevirt.io,2255,95,4732,535,164,153,3240,Go,https://github.com/kubevirt/kubevirt
kumahq/kuma,Kuma,Networking,TrafficManager,www.kuma.io,2012,57,1372,128,27,22,1033,Go,https://github.com/kumahq/kuma
